Summary|概览
Platform|Platform
Id|Id
Name|Name
Introduction|Introduction
Current Version|Current Version
Version|Version
Site|Site
Id|Id
Name|Name
Introduction|Introduction
Platform|Platform
Last Update Time|Last Update Time
Version|Version
Catalog|Catalog
Id|Id
Name|Name
Seller Id|Seller Id
Site|Site
Platform|Platform
Version|Version
Level One Category|Level One Category
Id|Id
Catalog|Catalog
Name|Name
Version|Version
Level Two Category|Level Two Category
Id|Id
Parent Category|Parent Category
Name|Name
Version|Version
Level N Category|Level N Category
Id|Id
Parent Category|Parent Category
Name|Name
Version|Version
Brand|Brand
Id|Id
Brand Name|Brand Name
Logo|Logo
Remark|Remark
Platform|Platform
Version|Version
Product|Product
Id|Id
Name|Name
Parent Category|Parent Category
Brand|Brand
Product Cover Image|Product Cover Image
Origin|Origin
Catalog|Catalog
Remark|Remark
Last Update Time|Last Update Time
Platform|Platform
Version|Version
Sku|Sku
Id|Id
Name|Name
Size|Size
Product|Product
Active|Active
Base Price|Base Price
Last Update Time|Last Update Time
Version|Version
Profile|Profile
Id|Id
Name|Name
Platform|Platform
Version|Version
Brand Filter|Brand Filter
Id|Id
Name|Name
Internal Id|Internal Id
Profile|Profile
Version|Version
Price Filter|Price Filter
Id|Id
Name|Name
Price Start|Price Start
Price End|Price End
Profile|Profile
Version|Version
Category Filter|Category Filter
Id|Id
Name|Name
Internal Id|Internal Id
Profile|Profile
Version|Version
New Product|New Product
Id|Id
Name|Name
Parent Category|Parent Category
Brand|Brand
Product Cover Image|Product Cover Image
Origin|Origin
Catalog|Catalog
Profile|Profile
Remark|Remark
Last Update Time|Last Update Time
Platform|Platform
Version|Version
Editor Pick Product|Editor Pick Product
Id|Id
Name|Name
Parent Category|Parent Category
Brand|Brand
Product Cover Image|Product Cover Image
Origin|Origin
Catalog|Catalog
Profile|Profile
Remark|Remark
Last Update Time|Last Update Time
Platform|Platform
Version|Version
Top Rated Product|Top Rated Product
Id|Id
Name|Name
Parent Category|Parent Category
Brand|Brand
Product Cover Image|Product Cover Image
Origin|Origin
Catalog|Catalog
Remark|Remark
Last Update Time|Last Update Time
Profile|Profile
Platform|Platform
Version|Version
Recommand Product|Recommand Product
Id|Id
Name|Name
Parent Category|Parent Category
Brand|Brand
Product Cover Image|Product Cover Image
Origin|Origin
Catalog|Catalog
Remark|Remark
Last Update Time|Last Update Time
Profile|Profile
Platform|Platform
Version|Version
User Domain|User Domain
Id|Id
Name|Name
Version|Version
User White List|User White List
Id|Id
User Identity|User Identity
User Special Functions|User Special Functions
Domain|Domain
Version|Version
Sec User|Sec User
Id|Id
Login|Login
Mobile|Mobile
Email|Email
Pwd|Pwd
